trade_date,ts_code,calibrated,c_struct,c_consensus,c_history,total_confidence,level,gates,future_5d_ret,season
2026-07-01,000524.SZ,30.4,30.0,30.0,90,45.0,C,-,-7.597792102042245,chaos
2026-07-01,000524.SZ,30.4,30.0,30.0,90,45.0,C,-,-7.597792102042245,chaos
2026-07-01,000526.SZ,39.4,50.0,30.0,50.2,43.0,C,-,-2.1618336301746144,chaos
2026-07-01,000526.SZ,39.4,50.0,30.0,50.2,43.0,C,-,-2.1618336301746144,chaos
2026-07-01,000532.SZ,34.0,40.0,45.0,88.6,53.9,C,-,-5.429966095616745,chaos
2026-07-01,000532.SZ,34.0,40.0,45.0,88.6,53.9,C,-,-5.429966095616745,chaos
2026-07-01,000538.SZ,34.3,50.0,30.0,87.8,52.5,C,-,1.4592970930371818,chaos
2026-07-01,000538.SZ,34.3,50.0,30.0,87.8,52.5,C,-,1.4592970930371818,chaos
2026-07-01,000545.SZ,30.9,50.0,30.0,68.8,47.7,C,-,1.5267472272026072,chaos
2026-07-01,000545.SZ,30.9,50.0,30.0,68.8,47.7,C,-,1.5267472272026072,chaos
2026-07-01,000547.SZ,34.8,25.0,40.0,82.8,44.7,C,-,-17.063049343611013,chaos
2026-07-01,000551.SZ,57.9,50.0,45.0,90,58.2,C,-,-15.839751468657347,chaos
2026-07-01,000551.SZ,57.9,50.0,45.0,90,58.2,C,-,-15.839751468657347,chaos
2026-07-01,000558.SZ,28.4,30.0,45.0,90,50.2,C,-,1.2270268158445008,chaos
2026-07-01,000558.SZ,28.4,30.0,45.0,90,50.2,C,-,1.2270268158445008,chaos
2026-07-01,000560.SZ,28.7,50.0,30.0,51.7,43.4,C,-,-6.074792989967282,chaos
2026-07-01,000560.SZ,28.7,50.0,30.0,51.7,43.4,C,-,-6.074792989967282,chaos
2026-07-01,000568.SZ,26.1,50.0,45.0,52.2,48.8,C,-,-2.013260116526927,chaos
2026-07-01,000568.SZ,26.1,50.0,45.0,52.2,48.8,C,-,-2.013260116526927,chaos
2026-07-01,000570.SZ,24.1,50.0,45.0,68.2,52.8,C,-,1.0460807250996629,chaos
2026-07-01,000570.SZ,24.1,50.0,45.0,68.2,52.8,C,-,1.0460807250996629,chaos
2026-07-01,000596.SZ,27.6,40.0,45.0,90,54.2,C,-,-3.888765129066807,chaos
2026-07-01,000596.SZ,27.6,40.0,45.0,90,54.2,C,-,-3.888765129066807,chaos
2026-07-01,000601.SZ,19.1,25.0,80.0,90,60.5,B,confidence_overrated,-4.813691962269262,chaos
2026-07-01,000601.SZ,19.1,25.0,80.0,90,60.5,B,confidence_overrated,-4.813691962269262,chaos
2026-07-01,000607.SZ,30.6,40.0,60.0,90,59.5,C,-,-0.9405187371282042,chaos
2026-07-01,000607.SZ,30.6,40.0,60.0,90,59.5,C,-,-0.9405187371282042,chaos
2026-07-01,000610.SZ,28.5,50.0,30.0,71.8,48.5,C,-,-3.0822359287557277,chaos
2026-07-01,000610.SZ,28.5,50.0,30.0,71.8,48.5,C,-,-3.0822359287557277,chaos
2026-07-01,000619.SZ,26.6,50.0,30.0,90,53.0,C,-,-3.3113214068659524,chaos
2026-07-01,000619.SZ,26.6,50.0,30.0,90,53.0,C,-,-3.3113214068659524,chaos
2026-07-01,000625.SZ,21.8,25.0,80.0,49.2,50.3,C,-,-2.7814902206297343,chaos
2026-07-01,000625.SZ,21.8,25.0,80.0,49.2,50.3,C,-,-2.7814902206297343,chaos
2026-07-01,000626.SZ,18.3,50.0,45.0,90,58.2,C,-,-2.1538084326776508,chaos
2026-07-01,000626.SZ,18.3,50.0,45.0,90,58.2,C,-,-2.1538084326776508,chaos
2026-07-01,000629.SZ,32.3,25.0,60.0,90,53.5,C,-,-12.394427191818947,chaos
2026-07-01,000629.SZ,32.3,25.0,60.0,90,53.5,C,-,-12.394427191818947,chaos
2026-07-01,000630.SZ,5.0,30.0,45.0,50.2,40.3,C,-,-3.974627435892286,chaos
2026-07-01,000630.SZ,5.0,30.0,45.0,50.2,40.3,C,-,-3.974627435892286,chaos
2026-07-01,000633.SZ,29.3,30.0,45.0,90,50.2,C,-,-3.042584674946347,chaos
2026-07-01,000633.SZ,29.3,30.0,45.0,90,50.2,C,-,-3.042584674946347,chaos
2026-07-01,000651.SZ,31.6,50.0,30.0,90,53.0,C,-,2.8830146877631746,chaos
2026-07-01,000651.SZ,31.6,50.0,30.0,90,53.0,C,-,2.8830146877631746,chaos
2026-07-01,000652.SZ,30.4,30.0,30.0,90,45.0,C,-,-4.057981087490925,chaos
2026-07-01,000652.SZ,30.4,30.0,30.0,90,45.0,C,-,-4.057981087490925,chaos
2026-07-01,000655.SZ,5.0,50.0,60.0,90,63.5,B,confidence_overrated,-0.7776483390765754,chaos
2026-07-01,000655.SZ,5.0,50.0,60.0,90,63.5,B,confidence_overrated,-0.7776483390765754,chaos
2026-07-01,000657.SZ,36.2,30.0,30.0,84.2,43.5,C,-,-22.7222932255728,chaos
2026-07-01,000657.SZ,36.2,30.0,30.0,84.2,43.5,C,-,-22.7222932255728,chaos
2026-07-01,000659.SZ,5.0,50.0,45.0,90,58.2,C,-,-11.783438039517547,chaos
2026-07-01,000659.SZ,5.0,50.0,45.0,90,58.2,C,-,-11.783438039517547,chaos
2026-07-01,000661.SZ,42.5,50.0,45.0,81.4,56.1,C,-,-6.844997569928757,chaos
2026-07-01,000661.SZ,42.5,50.0,45.0,81.4,56.1,C,-,-6.844997569928757,chaos
2026-07-01,000665.SZ,19.7,30.0,45.0,90,50.2,C,-,-2.695345453589637,chaos
2026-07-01,000665.SZ,19.7,30.0,45.0,90,50.2,C,-,-2.695345453589637,chaos
2026-07-01,000672.SZ,64.6,25.0,40.0,90,46.5,C,-,-14.273388628928185,chaos
2026-07-01,000676.SZ,25.4,30.0,45.0,86.0,49.2,C,-,-1.707799255420961,chaos
2026-07-01,000676.SZ,25.4,30.0,45.0,86.0,49.2,C,-,-1.707799255420961,chaos
2026-07-01,000681.SZ,21.4,30.0,45.0,50.5,40.4,C,-,-6.928745903310974,chaos
2026-07-01,000681.SZ,21.4,30.0,45.0,50.5,40.4,C,-,-6.928745903310974,chaos
2026-07-01,000682.SZ,26.2,25.0,40.0,86.2,45.5,C,-,-5.624399032890315,chaos
2026-07-01,000685.SZ,45.3,25.0,40.0,90,46.5,C,-,-5.3082321060167414,chaos
2026-07-01,000703.SZ,36.1,50.0,45.0,77.2,55.0,C,-,-6.284087030725671,chaos
2026-07-01,000703.SZ,36.1,50.0,45.0,77.2,55.0,C,-,-6.284087030725671,chaos
2026-07-01,000709.SZ,25.5,50.0,45.0,50.6,48.4,C,-,4.670704762954614e-05,chaos
2026-07-01,000709.SZ,25.5,50.0,45.0,50.6,48.4,C,-,4.670704762954614e-05,chaos
2026-07-01,000719.SZ,5.0,50.0,45.0,50.8,48.4,C,-,9.861742600859479,chaos
2026-07-01,000719.SZ,5.0,50.0,45.0,50.8,48.4,C,-,9.861742600859479,chaos
