ts_code,entry_date,exit_date,hold_days,entry_price,exit_price,shares,net_pnl,profit_pct,entry_score,exit_reason,entry_season,exit_season
000422.SZ,2025-03-17,2025-04-03,13,13.81,13.0,7200,-6411,-5.87,74.3,SCORE_DROP,chaos_spring,chaos
000519.SZ,2025-03-13,2025-04-07,16,17.9,15.49,5500,-13806,-13.46,75.6,STOP_LOSS,chaos,autumn
301068.SZ,2025-03-14,2025-04-07,15,36.69,29.7,2700,-19411,-19.05,76.2,STOP_LOSS,chaos,autumn
688037.SH,2025-03-14,2025-04-07,15,96.7,88.26,1000,-8995,-8.73,75.0,SCORE_DROP,chaos,autumn
688521.SH,2025-03-31,2025-04-07,4,106.0,86.8,900,-17801,-18.11,72.1,STOP_LOSS,chaos,autumn
605060.SH,2025-03-31,2025-04-07,4,19.82,16.79,5000,-15699,-15.29,70.5,STOP_LOSS,chaos,autumn
603629.SH,2025-04-07,2025-04-09,2,24.52,21.56,4000,-12393,-12.07,69.5,STOP_LOSS,autumn,autumn
301396.SZ,2025-04-07,2025-04-16,7,80.0,68.18,1200,-14717,-14.77,63.2,STOP_LOSS,autumn,chaos_autumn
000430.SZ,2025-04-03,2025-04-21,11,8.46,7.7,11800,-9540,-8.98,74.4,SCORE_DROP,chaos,chaos
603569.SH,2025-04-07,2025-04-23,12,7.92,7.75,12600,-2734,-2.15,71.3,SCORE_DROP,autumn,chaos
000524.SZ,2025-04-03,2025-04-24,14,13.79,12.54,7200,-9569,-9.06,74.2,SCORE_DROP,chaos,chaos
000859.SZ,2025-04-21,2025-04-25,4,7.54,6.42,13200,-15337,-14.85,72.4,STOP_LOSS,chaos,chaos
002371.SZ,2025-02-27,2025-05-07,45,460.42,448.3,200,-2969,-2.63,81.1,MAX_HOLD,chaos_spring,chaos
000729.SZ,2025-03-14,2025-05-22,45,12.21,13.58,8100,10470,11.22,77.9,MAX_HOLD,chaos,chaos_spring
603629.SH,2025-04-25,2025-05-26,18,22.17,23.15,4500,3798,4.42,69.5,SCORE_DROP,chaos,chaos
300502.SZ,2025-05-26,2025-05-28,2,115.76,84.62,800,-25393,-26.9,74.3,STOP_LOSS,chaos,chaos
000558.SZ,2025-03-24,2025-05-30,45,3.76,3.91,26500,3365,3.99,79.4,MAX_HOLD,chaos,chaos
605060.SH,2025-04-07,2025-06-13,45,16.79,18.13,5900,7288,7.98,70.5,MAX_HOLD,autumn,chaos_spring
002580.SZ,2025-04-07,2025-06-13,45,11.66,13.31,8500,13388,14.15,62.9,MAX_HOLD,autumn,chaos_spring
600171.SH,2025-04-16,2025-06-13,38,36.72,32.31,2700,-12466,-12.01,70.7,STOP_LOSS,chaos_autumn,chaos_spring
000729.SZ,2025-05-22,2025-06-13,15,13.58,12.34,7300,-9620,-9.13,80.0,SCORE_DROP,chaos_spring,chaos_spring
603223.SH,2025-05-28,2025-06-13,11,10.53,9.59,9400,-9403,-8.93,77.5,SCORE_DROP,chaos,chaos_spring
600900.SH,2025-04-09,2025-06-17,45,29.57,30.67,3300,3034,3.72,70.2,MAX_HOLD,autumn,chaos
001222.SZ,2025-06-13,2025-06-26,9,22.37,19.57,4400,-12874,-12.52,74.1,STOP_LOSS,chaos_spring,chaos_spring
688362.SH,2025-04-23,2025-07-01,45,28.85,29.24,3400,733,1.35,76.3,MAX_HOLD,chaos,chaos_spring
600064.SH,2025-04-24,2025-07-02,45,7.48,7.76,13300,3116,3.74,74.7,MAX_HOLD,chaos,chaos
000415.SZ,2025-05-07,2025-07-10,45,3.22,3.55,31000,9600,10.25,79.3,MAX_HOLD,chaos,summer
600118.SH,2025-05-30,2025-08-04,45,27.66,29.57,3600,6258,6.91,76.2,MAX_HOLD,chaos,chaos_spring
000558.SZ,2025-06-13,2025-08-13,43,4.87,5.72,20500,16774,17.45,77.5,SCORE_DROP,chaos_spring,chaos_spring
688313.SH,2025-06-13,2025-08-15,45,35.97,56.1,2700,53605,55.96,79.1,MAX_HOLD,chaos_spring,summer
002463.SZ,2025-06-13,2025-08-15,45,38.62,55.35,2500,41120,43.32,75.0,MAX_HOLD,chaos_spring,summer
688668.SH,2025-06-13,2025-08-15,45,60.2,110.0,1600,78863,82.72,70.7,MAX_HOLD,chaos_spring,summer
300502.SZ,2025-06-17,2025-08-19,45,107.12,256.79,900,133720,139.72,78.0,MAX_HOLD,chaos,summer
688037.SH,2025-06-26,2025-08-28,45,105.05,132.78,900,24315,26.4,80.9,MAX_HOLD,chaos_spring,chaos_spring
605060.SH,2025-07-01,2025-09-02,45,20.62,27.74,4800,33480,34.53,83.5,MAX_HOLD,chaos_spring,summer
000021.SZ,2025-07-02,2025-09-03,45,18.29,20.23,5400,9852,10.61,73.8,MAX_HOLD,chaos,summer
600118.SH,2025-08-28,2025-09-03,4,38.9,33.62,2500,-13744,-13.57,86.7,STOP_LOSS,chaos_spring,summer
688362.SH,2025-08-04,2025-09-04,23,31.19,32.68,3200,4155,4.78,81.1,SCORE_DROP,chaos_spring,chaos_spring
688256.SH,2025-08-15,2025-09-08,16,923.7,1212.78,100,28267,31.3,75.6,SCORE_DROP,summer,chaos_spring
002851.SZ,2025-08-15,2025-09-09,17,72.01,71.66,1300,-1015,-0.49,74.6,SCORE_DROP,summer,chaos_spring
000415.SZ,2025-07-10,2025-09-11,45,3.55,3.63,28100,1643,2.25,81.8,MAX_HOLD,summer,chaos_spring
688313.SH,2025-09-02,2025-09-16,10,78.7,68.59,1200,-12662,-12.85,79.5,STOP_LOSS,summer,chaos_spring
002580.SZ,2025-09-09,2025-09-19,8,15.94,14.31,6200,-10669,-10.23,75.5,SCORE_DROP,chaos_spring,chaos_spring
601138.SH,2025-08-13,2025-10-14,38,43.68,59.72,2200,34606,36.72,77.6,SCORE_DROP,chaos_spring,chaos_spring
300502.SZ,2025-08-19,2025-10-15,35,256.79,322.59,300,19219,25.62,81.1,SCORE_DROP,summer,chaos_spring
603569.SH,2025-09-04,2025-10-17,25,9.26,8.49,10700,-8809,-8.32,74.5,SCORE_DROP,chaos_spring,chaos
